A01,Celestial Mechanics,,,
A02,Cosmology and Dark matter,,,
A03,Earth and Planetary Science,,,
A04,General Astronomy,,,
A05,Observational Astronomy,,,
B01,Bio Instrumentation,,,
B02,Cancer Biology,,,
B03,Computational Biology,,,
B04,Ecology,,,
B05,Evolutionary Biology,,,
B06,Genetics and Genetic engineering,,,
B07,Immunology,,,
B08,Immunology and Vaccinology,,,
B09,Machine Learning in Biology,,,
B10,Mathematical Biology,,,
B11,Medicine,,,
B12,Methods in Polymer Physics for Biology ,,,
B13,Molecular Biology,,,
B14,Molecular Cell Biology,,,
B15,Neuroscience,,,
C01,Catalysis,,,
C02,Chemical Engineering,,,
C03,Coordination Chemistry,,,
C04,Electrochemistry,,,
C05,Functional Ceramics,,,
C06,Material Characterization Techniques,,,
C07,Materials for Ultra high temperatures,,,
C08,ML/AI in Material Science,,,
C09,Organic Synthesis,,,
C10,Quantum Chemistry,,,
C11,Silicon processing,,,
C12,Spectroscopic Analysis and Determination of Compounds,,,
CS01,Algorithms for Competitive Programming,,,
CS02,Algorithms and Matroid Polytopes,,,
CS03,Artifical Intelligence and Machine Learning,,,
CS04,Big Data,,,
CS05,Blockchains,,,
CS06,Computational Learning Theory,,,
CS07,Computer Architecture,,,
CS08,Computer Networks,,,
CS09,Computer Vision,,,
CS10,Concurrent programs and memory models,,,
CS11,Cryptography,,,
CS12,Data Science,,,
CS13,Data Structures and Algoritms,,,
CS14,Database Management System,,,
CS15,Digital Logics,,,
CS16,Discrete structures,,,
CS17,Extremal Combinatorics,,,
CS18,Formal Logic,,,
CS19,Games on Graphs,,,
CS20,Generative and Agentic AI,,,
CS21,Graph Machine Learning,,,
CS22,Graph theory,,,
CS23,Image Processing,,,
CS24,Information Retrieval,,,
CS25,Large Language Models,,,
CS26,Markov Chains,,,
CS27,Natural Language Processing,,,
CS28,Neural Networks,,,
CS29,Operating Systems,,,
CS30,Post-Training Methods,,,
CS31,Randomised Algorithms,,,
CS32,Reinforcement Learning,,,
CS33,Spectral Graph Theory,,,
CS34,Statistical Learning Theory,,,
CS35,Supply Chain Analytics,,,
CS36,Theory of Computation,,,
CS37,Zero-Knowledge Proofs,,,
CS38,Multimodal Machine Learning,,,
CS39,Machine Learning for Telecom,,,
CS40,Reinforcement Learning for LLMs,,,
CS41,Medical Image Segmentation,,,
CS42,Image Generation,,,
CS43,Online Learning,,,
CS44,Data Science and Analytics,,,
E01,Aerodynamics and Fluid Mechanics,,,
E02,Analog Electronics,,,
E03,Assembly language microprocessor design,,,
E04,Automobile Design,,,
E05,Computational Methods in Engineering,,,
E06,Construction Materials,,,
E07,Control Systems,,,
E08,Driverless vehicles,,,
E09,Electronics and Instrumentation,,,
E10,Embedded Systems,,,
E11,Environmental Engineering,,,
E12,Finite Element Analysis,,,
E13,Graph Theoretic Methods in Multiagent Networks,,,
E14,Hardware Description Languages,,,
E15,Hypersonics,,,
E16,Information Theory,,,
E17,Low Speed aerodynamics,,,
E18,Machine Design,,,
E19,Mechanics and Materials,,,
E20,PCB Design,,,
E21,Robotics,,,
E22,Signal Processing,,,
E23,Soil Mechanics,,,
E24,Transportation Engineering,,,
E25,Semiconductor Fabrication,,,
E26,Control Theory,,,
E27,Digital Electronics,,,
ES01,Battery Technology,,,
ES02,Carbon accounting & ESG,,, 
ES03,Climate Change and Climate Science,,,
ES04,Corporate Sustainabiility,,,
ES05,Energy Markets & Decarbonization of Industries,,,
ES06,EVs and Technology,,,
ES07,Fuel Cells,,,
ES08,Solar Photovoltaics,,,
ES09,Sustainability and engineering,,,
ES10,Sustainability Practices,,,
H01,Algorithmic Trading,,,
H02,Alternative Investments,,,
H03,Behavioral Economics,,,
H04,Case Frameworks for Consulting,,,
H05,Combinatorial Game theory,,,
H06,Consumer theory and Behavioral Analysis,,,
H07,Corporate Finance,,,
H08,Criminology,,,
H09,Density Functional Theory (DFT) in particular,,,
H10,Economics,,,
H11,Econophysics,,,
H12,Finance (Equity),,,
H13,Financial Mathematics,,,
H14,Financial Modelling,,,
H15,Financial Quantitative Analysis & Investment Strategy,,,
H16,Game Theory,,,
H17,Impact of Meditation,,,
H18,Management,,,
H19,Market Microstructure,,,
H20,Mathematics of Derivative Pricing,,,
H21,Multi-Echelon Optimization,,,
H22,Music Theory,,,
H23,Numerical Analysis,,,
H24,Option Trading Strategies,,,
H25,Philosophy,,,
H26,Policy Studies,,,
H27,Probability and Random Processes,,,
H28,Quantitative Portfolio Management,,,
H29,Risk and Psychology in Trading,,,
H30,Social Psychology,,,
H31,Stock Market Analysis,,,
H32,Technical Analysis in Financial Markets,,,
H33,Group Testing and Error Correcting Codes,,,
H34,Applied Portfolio Management,,,
M01,Abstract Algebra,,,
M02,Algebraic Geometry,,,
M03,Category Theory,,,
M04,Coding Theory,,,
M05,Combinatorics,,,
M06,Commutative Algebra,,,
M07,Complex Analysis,,,
M08,Convex Optimisation,,,
M09,Differential Geometry,,,
M10,Differential Topology,,,
M11,Discrete Mathematics,,,
M12,Elementary Harmonic analysis,,,
M13,Functional analysis,,,
M14,Group Theory,,,
M15,High Dimensional Probability,,,
M16,Hopf algebras,,,
M17,Linear Algebra,,,
M18,Topological Data Analysis,,,
M19,Number Theory,,,
M20,Probabilistic Method,,,
M21,Probability and Statistics,,,
M22,Probability theory and Concentration,,,
M23,Real Analysis,,,
M24,Regression Analysis,,,
M25,Representation theory,,,
M26,Ring Theory,,,
M27,Set theory,,,
M28,Stochastic differential equations,,,
M29,Stochastic Processes,,,
M30,Topology,,,
P01,Active Matter Physics,,,
P02,Analytical Mechanics,,,
P03,Astroparticle Physics,,,
P04,Bayesian Inference,,,
P05,Classical Mechanics,,,
P06,Computational Physics,,,
P07,Condensed Matter Physics,,,
P08,Density Functional Theory,,,
P09,Device Physics,,,
P10,Differential Geometry for Physics,,,
P11,Electrodynamics,,,
P12,Elementary Particle Physics,,,
P13,Information and Quantum Technologies,,,
P14,Mathematical physics,,,
P15,Neutrino Physics,,,
P16,Nonlinear Dynamical Systems,,,
P17,Photonics and Quantum Optics,,,
P18,Quantum Computing,,,
P19,Quantum Field Theory,,,
P20,Quantum Mechanics,,,
P21,Quantum Probability,,,
P22,Semi-conductors and their Applications,,,
P23,Soft Condensed Matter and Complex Fluids,,,
P24,Solid State Physics,,,
P25,Special and General Relativity,,,
P26,Statistical Mechanics and Thermal Physics,,,
P27,Supersymmetry,,,
P28,Geometry and Topology in Quantum Matter,,,
P29,Quantum Hall Effect,,,
Project Code,Project Title,,,
